2023”N7ŒŽ7“ú,Time,ƒ¢Time,Xpos,Zpos,Velocity,RotateY,InputValue,AcceInput,SteeringInput,BrakeInput,Distance,CarPos.x,CarPos.z,CarDistance,Bike.x,Bike.z,BikeDistance
13:32:19,0.3733,0.3333,-2.0000,0.0905,1.7088,0.0289,,0.0000,0.0000,0.0000,,3.2337,33.2908,33.4474,-1.4887,46.3349,46.3588
13:32:19,0.5723,0.1990,-1.9999,0.2177,2.7228,0.0351,,0.0000,0.0000,0.0000,,3.2334,29.8302,30.0050,-1.4880,46.2067,46.2306
13:32:19,0.6537,0.0814,-1.9999,0.2838,3.1061,0.0339,,0.0000,0.0000,0.0000,,3.0765,28.4513,28.6172,-1.4874,46.1509,46.1749
13:32:19,0.7037,0.0500,-1.9998,0.3389,3.3939,0.0351,,0.0000,0.0000,0.0000,,3.0764,27.3962,27.5684,-1.4873,46.0993,46.1232
13:32:19,0.7597,0.0561,-1.9998,0.3783,3.5922,0.0353,,0.0000,0.0000,0.0000,,3.0764,26.6902,26.8669,-1.4870,46.0551,46.0791
13:32:19,0.8090,0.0493,-1.9998,0.4415,3.8868,0.0355,,0.0000,0.0000,0.0000,,3.0764,25.6270,25.8109,-1.4868,45.9848,46.0089
13:32:19,0.8652,0.0562,-1.9997,0.5096,4.1811,0.0356,,0.0000,0.0000,0.0000,,3.0763,24.5589,24.7508,-1.4864,45.9133,45.9374
13:32:19,0.9211,0.0558,-1.9997,0.5824,4.4670,0.0356,,0.0000,0.0000,0.0000,,3.0763,23.4861,23.6867,-1.4861,45.8377,45.8618
13:32:19,0.9798,0.0587,-1.9997,0.6336,4.6577,0.0356,,0.0000,0.0000,0.0000,,3.0762,22.7682,22.9750,-1.4859,45.7970,45.8211
13:32:19,1.0602,0.0804,-1.9996,0.7709,5.1335,0.0356,,0.0000,0.0000,0.0000,,3.0762,20.9642,21.1887,-1.4852,45.6454,45.6696
13:32:20,1.1202,0.0600,-1.9995,0.8597,5.4186,0.0356,,0.0000,0.0000,0.0000,,3.0761,19.8755,20.1121,-1.4847,45.5724,45.5965
